"","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSMUSG00000022491",221373.302988108,-8.4238740506926,0.216979789903963,-38.8233118596948,0,0
"2","ENSMUSG00000028773",21620.571345415,-8.62841893192292,0.219041632805016,-39.3916846830833,0,0
"3","ENSMUSG00000029838",20350.7361678131,8.56983484734697,0.192083433004433,44.6151691132529,0,0
"4","ENSMUSG00000061937",836518.845037161,-7.09703060563884,0.184411706190528,-38.4847076806851,0,0
"5","ENSMUSG00000030849",4071.58085276414,5.14490134642973,0.155173672620049,33.155761925074,4.67775138442127e-241,1.62121507481273e-237
"6","ENSMUSG00000020303",5307.83477814593,4.97448535580723,0.156373167815005,31.8116299958329,4.46996293842255e-222,1.29099979599874e-218
"7","ENSMUSG00000051159",3065.90226948039,5.00554381565336,0.160805797610872,31.1278815193349,1.01066758811055e-212,2.50197980490968e-209
"8","ENSMUSG00000033860",2775.57786844571,7.63642518890966,0.25723036111061,29.6871067471929,1.12652063096067e-193,2.44018450173969e-190
"9","ENSMUSG00000031722",2258.19598453742,4.56444347223892,0.156573738729463,29.1520373038139,7.87177444340065e-187,1.51566643699655e-183
"10","ENSMUSG00000018796",12783.4017572398,-4.52610700832377,0.173840962521229,-26.0359062828536,1.94299988538692e-149,3.36702450138699e-146
"11","ENSMUSG00000040055",2041.10587762645,-8.53196734102212,0.329335646134409,-25.9066014905051,5.61150935609341e-148,8.84016778470388e-145
"12","ENSMUSG00000015568",12228.1871964882,-5.7154947975515,0.222390216383892,-25.7002978390262,1.15995561212809e-145,1.67507256688064e-142
"13","ENSMUSG00000030732",2203.23981060123,-6.21012298146129,0.243897965965114,-25.4619711849075,5.20263931815824e-143,6.93511821110493e-140
"14","ENSMUSG00000063157",1009498.98998375,-6.23941957452587,0.245747602363891,-25.3895440464434,3.29015824509365e-142,4.07251087351627e-139
"15","ENSMUSG00000021223",1902.00533545904,3.81033226031515,0.151607744121338,25.1328339617373,2.1773598561843e-139,2.51543126318784e-136
"16","ENSMUSG00000019768",1815.97776877548,4.03395254507863,0.165485492632502,24.3764724079888,3.03848185752217e-131,3.2908657568126e-128
"17","ENSMUSG00000037071",31465.9399469633,-2.82688978757893,0.117684832732815,-24.0208506222458,1.68410668772833e-127,1.71669910539084e-124
"18","ENSMUSG00000022150",5867.132275924,-4.67911140755744,0.198270396421703,-23.5996472090842,3.88639347484293e-123,3.74151736253073e-120
"19","ENSMUSG00000058354",2060.54100545134,7.75179604344596,0.328820130801546,23.574578674821,7.02752772490083e-123,6.40947515498982e-120
"20","ENSMUSG00000035686",4038.77426167939,-6.76116645068808,0.288221370912885,-23.4582412444761,1.08918841063472e-121,9.43727298394453e-119
"21","ENSMUSG00000020614",5043.33503740167,-3.47311706397225,0.148535423354272,-23.3824160293973,6.45277443172466e-121,5.3247680060646e-118
"22","ENSMUSG00000037010",1051.64528810728,-5.98750912366853,0.258857438441942,-23.1305275973804,2.28321020599335e-118,1.79844316634813e-115
"23","ENSMUSG00000007872",998.080267383985,4.75974702056707,0.206845775632709,23.0110912635646,3.60978396193288e-117,2.71973679462326e-114
"24","ENSMUSG00000070702",690330.275766854,-4.80189632937549,0.209228550217949,-22.9504832126087,1.45719156832502e-116,1.05215302864601e-113
"25","ENSMUSG00000031596",3798.79465541643,4.05401169421354,0.177729367805605,22.8100270893198,3.64630155285483e-115,2.52747038437685e-112
"26","ENSMUSG00000039131",1201.38738568971,8.11060952054325,0.357566742499081,22.6827849364769,6.62600792918625e-114,4.41623428480264e-111
"27","ENSMUSG00000046352",4743.25009477292,-3.45881140154357,0.152938779095086,-22.6156598215887,3.03952515255436e-113,1.95081227291165e-110
"28","ENSMUSG00000052951",1152.11510048179,4.58497213528525,0.204661925078786,22.4026629942049,3.70742229673988e-111,2.29449717786448e-108
"29","ENSMUSG00000034634",1719.3894213203,5.74748404968415,0.258633411093284,22.2225118765152,2.08099493206873e-109,1.24350210957997e-106
